title,link,price
"BILLY","https://www.ikea.com/in/en/p/billy-bookcase-white-90522038/","1,990"
"BILLY","https://www.ikea.com/in/en/p/billy-bookcase-white-30522041/","4,990"
"BILLY / OXBERG","https://www.ikea.com/in/en/p/billy-oxberg-bookcase-with-panel-glass-doors-black-oak-effect-s59483633/","13,990"
"BAGGEBO","https://www.ikea.com/in/en/p/baggebo-shelving-unit-metal-white-60483873/","15,990"
"BILLY / OXBERG","https://www.ikea.com/in/en/p/billy-oxberg-bookcase-with-glass-doors-black-oak-effect-s59483628/","1,790"
"BILLY","https://www.ikea.com/in/en/p/billy-bookcase-black-oak-effect-20477341/","15,990"
"BILLY / OXBERG","https://www.ikea.com/in/en/p/billy-oxberg-bookcase-with-door-white-s09528342/","17,990"
"BAGGEBO","https://www.ikea.com/in/en/p/baggebo-cabinet-with-door-white-70483882/","6,990"
"BILLY / OXBERG","https://www.ikea.com/in/en/p/billy-oxberg-bookcase-with-panel-glass-door-white-glass-s79528348/","8,990"
"KALLAX","https://www.ikea.com/in/en/p/kallax-shelving-unit-white-60351882/","3,690"
"BILLY / OXBERG","https://www.ikea.com/in/en/p/billy-oxberg-bookcase-combination-w-glass-doors-black-oak-effect-s29483743/","2,290"
"BILLY / OXBERG","https://www.ikea.com/in/en/p/billy-oxberg-bookcase-with-glass-door-white-glass-s59545358/","7,990"
"VARBY","https://www.ikea.com/in/en/p/varby-corner-shelf-unit-medium-brown-00417579/","14,990"
"LERBERG","https://www.ikea.com/in/en/p/lerberg-shelf-unit-dark-grey-60186401/","31,980"
"BURHULT / SIBBHULT","https://www.ikea.com/in/en/p/burhult-sibbhult-wall-shelf-combination-white-white-s69326100/","35,980"
"BILLY","https://www.ikea.com/in/en/p/billy-bookcase-comb-w-foldable-table-white-s69590661/","8,990"
"BILLY / HÃ–GBO","https://www.ikea.com/in/en/p/billy-hoegbo-bookcase-comb-w-foldable-table-white-s79590745/","5,490"
"BILLY","https://www.ikea.com/in/en/p/billy-bookcase-combination-crnr-solution-white-s99545342/","2,490"
"BRIMNES","https://www.ikea.com/in/en/p/brimnes-bookcase-white-10351686/","598"
"BILLY / OXBERG","https://www.ikea.com/in/en/p/billy-oxberg-bookcase-with-doors-white-s49528340/","21,980"
"HEMNES","https://www.ikea.com/in/en/p/hemnes-glass-door-cabinet-with-3-drawers-grey-green-light-brown-stained-80596162/","30,980"
"HYLLIS","https://www.ikea.com/in/en/p/hyllis-shelving-unit-in-outdoor-80278579/","15,370"